NOME;COLUNAS;LINHAS;ALPHA;THETA;T LAB;T C2G
"data/ceu.ppm";240;160;5;225;0,01;303,522003
"data/ceu.ppm";240;160;10;225;0,01;336,990997
"data/ceu.ppm";240;160;15;225;0,01;351,242004
"data/ceu.ppm";240;160;20;225;0,01;361,937012
"data/ceu.ppm";240;160;25;225;0,01;372,484985
"data/ceu.ppm";240;160;5;270;0,01;303,209991
"data/ceu.ppm";240;160;10;270;0,02;334,519989
"data/ceu.ppm";240;160;15;270;0,01;350,786011
"data/ceu.ppm";240;160;20;270;0,01;362,191010
"data/ceu.ppm";240;160;25;270;0,01;370,799988
"data/ceu.ppm";240;160;5;315;0,01;303,078003
"data/ceu.ppm";240;160;10;315;0,02;334,881012
"data/ceu.ppm";240;160;15;315;0,02;351,121002
"data/ceu.ppm";240;160;20;315;0,02;362,140991
"data/ceu.ppm";240;160;25;315;0,02;370,790985
"data/fish.ppm";400;300;5;0;0,04;2.301,545898
"data/fish.ppm";400;300;10;0;0,05;2.673,575928
"data/fish.ppm";400;300;15;0;0,05;2.935,998047
"data/fish.ppm";400;300;20;0;0,06;3.112,383057
"data/fish.ppm";400;300;25;0;0,06;3.214,825928
"data/fish.ppm";400;300;5;45;0,05;2.302,899902
"data/fish.ppm";400;300;10;45;0,04;2.671,646973
"data/fish.ppm";400;300;15;45;0,05;2.935,635010
"data/fish.ppm";400;300;20;45;0,05;3.112,062988
"data/fish.ppm";400;300;25;45;0,05;3.213,772949
"data/fish.ppm";400;300;5;90;0,05;2.303,351074
"data/fish.ppm";400;300;10;90;0,05;2.671,724121
"data/fish.ppm";400;300;15;90;0,05;2.937,068115
"data/fish.ppm";400;300;20;90;0,06;3.111,110107
"data/fish.ppm";400;300;25;90;0,05;3.213,622070
"data/fish.ppm";400;300;5;135;0,05;2.302,572021
"data/fish.ppm";400;300;10;135;0,04;2.671,031006
"data/fish.ppm";400;300;15;135;0,05;2.935,356934
"data/fish.ppm";400;300;20;135;0,05;3.110,722900
"data/fish.ppm";400;300;25;135;0,05;3.215,370117
"data/fish.ppm";400;300;5;180;0,04;2.302,653076
