NOME; COLUNAS; LINHAS; ALPHA; THETA; T LAB; T C2G
"data/frutas.ppm"; 320; 240; 30; 315; 0,03; 1.452,316040
"data/ilha.ppm"; 320; 240; 5; 0; 0,03; 993,343994
"data/ilha.ppm"; 320; 240; 10; 0; 0,04; 1.116,232056
"data/ilha.ppm"; 320; 240; 15; 0; 0,04; 1.204,829956
"data/ilha.ppm"; 320; 240; 20; 0; 0,04; 1.269,561035
"data/ilha.ppm"; 320; 240; 30; 0; 0,04; 1.337,173950
"data/ilha.ppm"; 320; 240; 5; 45; 0,03; 993,741028
"data/ilha.ppm"; 320; 240; 10; 45; 0,03; 1.116,633057
"data/ilha.ppm"; 320; 240; 15; 45; 0,04; 1.205,031006
"data/ilha.ppm"; 320; 240; 20; 45; 0,03; 1.269,665039
"data/ilha.ppm"; 320; 240; 30; 45; 0,04; 1.337,187012
"data/ilha.ppm"; 320; 240; 5; 90; 0,04; 993,265015
"data/ilha.ppm"; 320; 240; 10; 90; 0,04; 1.116,034058
"data/ilha.ppm"; 320; 240; 15; 90; 0,04; 1.204,649048
"data/ilha.ppm"; 320; 240; 20; 90; 0,04; 1.269,193970
"data/ilha.ppm"; 320; 240; 30; 90; 0,04; 1.336,787964
"data/ilha.ppm"; 320; 240; 5; 135; 0,04; 993,057007
"data/ilha.ppm"; 320; 240; 10; 135; 0,03; 1.115,756958
"data/ilha.ppm"; 320; 240; 15; 135; 0,03; 1.204,166016
"data/ilha.ppm"; 320; 240; 20; 135; 0,03; 1.268,755005
"data/ilha.ppm"; 320; 240; 30; 135; 0,04; 1.336,416992
"data/ilha.ppm"; 320; 240; 5; 180; 0,04; 992,926025
"data/ilha.ppm"; 320; 240; 10; 180; 0,04; 1.115,625977
"data/ilha.ppm"; 320; 240; 15; 180; 0,04; 1.204,009033
"data/ilha.ppm"; 320; 240; 20; 180; 0,03; 1.268,624023
"data/ilha.ppm"; 320; 240; 30; 180; 0,03; 1.336,254028
"data/ilha.ppm"; 320; 240; 5; 225; 0,04; 992,356018
"data/ilha.ppm"; 320; 240; 10; 225; 0,04; 1.115,147949
"data/ilha.ppm"; 320; 240; 15; 225; 0,03; 1.203,709961
"data/ilha.ppm"; 320; 240; 20; 225; 0,04; 1.268,423950
"data/ilha.ppm"; 320; 240; 30; 225; 0,04; 1.336,281006
"data/ilha.ppm"; 320; 240; 5; 270; 0,04; 992,541992
"data/ilha.ppm"; 320; 240; 10; 270; 0,03; 1.115,310059
"data/ilha.ppm"; 320; 240; 15; 270; 0,04; 1.203,883057
"data/ilha.ppm"; 320; 240; 20; 270; 0,03; 1.268,504028
"data/ilha.ppm"; 320; 240; 30; 270; 0,04; 1.336,215942
"data/ilha.ppm"; 320; 240; 5; 315; 0,03; 992,844971
"data/ilha.ppm"; 320; 240; 10; 315; 0,03; 1.115,707031
"data/ilha.ppm"; 320; 240; 15; 315; 0,03; 1.204,318970
"data/ilha.ppm"; 320; 240; 20; 315; 0,03; 1.269,052979
"data/ilha.ppm"; 320; 240; 30; 315; 0,04; 1.336,712036
"data/isolum050.ppm"; 50; 50; 5; 0; 0,01; 3,075000
"data/isolum050.ppm"; 50; 50; 10; 0; 0,01; 3,074000
"data/isolum050.ppm"; 50; 50; 15; 0; 0,01; 3,073000
"data/isolum050.ppm"; 50; 50; 20; 0; 0,01; 3,095000
"data/isolum050.ppm"; 50; 50; 30; 0; 0,01; 3,072000
"data/isolum050.ppm"; 50; 50; 5; 45; 0,01; 3,075000
"data/isolum050.ppm"; 50; 50; 10; 45; 0; 3,076000
"data/isolum050.ppm"; 50; 50; 15; 45; 0,01; 3,075000
"data/isolum050.ppm"; 50; 50; 20; 45; 0; 3,075000
"data/isolum050.ppm"; 50; 50; 30; 45; 0,01; 3,077000
"data/isolum050.ppm"; 50; 50; 5; 90; 0; 3,090000
"data/isolum050.ppm"; 50; 50; 10; 90; 0,01; 3,079000
"data/isolum050.ppm"; 50; 50; 15; 90; 0,01; 3,075000
"data/isolum050.ppm"; 50; 50; 20; 90; 0; 3,069000
"data/isolum050.ppm"; 50; 50; 30; 90; 0; 3,081000
"data/isolum050.ppm"; 50; 50; 5; 135; 0; 3,077000
"data/isolum050.ppm"; 50; 50; 10; 135; 0; 3,076000
"data/isolum050.ppm"; 50; 50; 15; 135; 0; 3,075000
"data/isolum050.ppm"; 50; 50; 20; 135; 0,01; 3,143000
"data/isolum050.ppm"; 50; 50; 30; 135; 0; 3,078000
"data/isolum050.ppm"; 50; 50; 5; 180; 0,01; 3,073000
"data/isolum050.ppm"; 50; 50; 10; 180; 0,01; 3,079000
"data/isolum050.ppm"; 50; 50; 15; 180; 0,01; 3,073000
"data/isolum050.ppm"; 50; 50; 20; 180; 0,01; 3,076000
"data/isolum050.ppm"; 50; 50; 30; 180; 0; 3,080000
"data/isolum050.ppm"; 50; 50; 5; 225; 0; 3,076000
"data/isolum050.ppm"; 50; 50; 10; 225; 0,01; 3,074000
"data/isolum050.ppm"; 50; 50; 15; 225; 0,01; 3,085000
"data/isolum050.ppm"; 50; 50; 20; 225; 0,01; 3,076000
"data/isolum050.ppm"; 50; 50; 30; 225; 0; 3,075000
"data/isolum050.ppm"; 50; 50; 5; 270; 0,01; 3,074000
"data/isolum050.ppm"; 50; 50; 10; 270; 0,01; 3,079000
"data/isolum050.ppm"; 50; 50; 15; 270; 0,01; 3,075000
"data/isolum050.ppm"; 50; 50; 20; 270; 0; 3,074000
"data/isolum050.ppm"; 50; 50; 30; 270; 0; 3,074000
"data/isolum050.ppm"; 50; 50; 5; 315; 0,01; 3,066000
"data/isolum050.ppm"; 50; 50; 10; 315; 0,01; 3,079000
"data/isolum050.ppm"; 50; 50; 15; 315; 0,01; 3,075000
"data/isolum050.ppm"; 50; 50; 20; 315; 0; 3,088000
"data/isolum050.ppm"; 50; 50; 30; 315; 0,01; 3,071000
"data/isolum100.ppm"; 100; 100; 5; 0; 0,02; 28,778000
"data/isolum100.ppm"; 100; 100; 10; 0; 0,01; 28,749001
"data/isolum100.ppm"; 100; 100; 15; 0; 0,01; 29,427000
"data/isolum100.ppm"; 100; 100; 20; 0; 0,01; 30,341999
"data/isolum100.ppm"; 100; 100; 30; 0; 0,01; 30,221001
"data/isolum100.ppm"; 100; 100; 5; 45; 0,01; 28,796000
"data/isolum100.ppm"; 100; 100; 10; 45; 0; 28,753000
"data/isolum100.ppm"; 100; 100; 15; 45; 0; 29,448000
"data/isolum100.ppm"; 100; 100; 20; 45; 0,02; 30,323000
"data/isolum100.ppm"; 100; 100; 30; 45; 0,01; 30,221001
"data/isolum100.ppm"; 100; 100; 5; 90; 0,01; 28,773001
"data/isolum100.ppm"; 100; 100; 10; 90; 0,01; 28,756001
"data/isolum100.ppm"; 100; 100; 15; 90; 0,01; 29,429001
"data/isolum100.ppm"; 100; 100; 20; 90; 0,01; 30,332001
"data/isolum100.ppm"; 100; 100; 30; 90; 0,01; 30,215000
"data/isolum100.ppm"; 100; 100; 5; 135; 0,01; 28,737000
"data/isolum100.ppm"; 100; 100; 10; 135; 0,01; 28,740999
"data/isolum100.ppm"; 100; 100; 15; 135; 0; 29,417000
"data/isolum100.ppm"; 100; 100; 20; 135; 0,01; 30,334999
"data/isolum100.ppm"; 100; 100; 30; 135; 0,01; 30,219000
"data/isolum100.ppm"; 100; 100; 5; 180; 0; 28,745001
"data/isolum100.ppm"; 100; 100; 10; 180; 0; 28,757999
"data/isolum100.ppm"; 100; 100; 15; 180; 0,01; 29,451000
"data/isolum100.ppm"; 100; 100; 20; 180; 0,01; 30,365000
"data/isolum100.ppm"; 100; 100; 30; 180; 0,01; 30,253000
"data/isolum100.ppm"; 100; 100; 5; 225; 0; 28,747999
"data/isolum100.ppm"; 100; 100; 10; 225; 0,01; 28,768999
"data/isolum100.ppm"; 100; 100; 15; 225; 0,01; 29,466999
"data/isolum100.ppm"; 100; 100; 20; 225; 0; 30,368999
"data/isolum100.ppm"; 100; 100; 30; 225; 0,01; 30,264999
"data/isolum100.ppm"; 100; 100; 5; 270; 0,01; 28,750999
"data/isolum100.ppm"; 100; 100; 10; 270; 0,02; 28,841000
"data/isolum100.ppm"; 100; 100; 15; 270; 0,01; 29,483000
"data/isolum100.ppm"; 100; 100; 20; 270; 0,01; 30,368000
"data/isolum100.ppm"; 100; 100; 30; 270; 0,01; 30,257999
"data/isolum100.ppm"; 100; 100; 5; 315; 0,01; 28,754000
"data/isolum100.ppm"; 100; 100; 10; 315; 0,01; 28,754000
"data/isolum100.ppm"; 100; 100; 15; 315; 0; 29,450001
"data/isolum100.ppm"; 100; 100; 20; 315; 0,01; 30,347000
"data/isolum100.ppm"; 100; 100; 30; 315; 0,01; 30,252001
"data/isolum200.ppm"; 200; 200; 5; 0; 0,03; 376,846985
"data/isolum200.ppm"; 200; 200; 10; 0; 0,02; 376,839996
"data/isolum200.ppm"; 200; 200; 15; 0; 0,02; 376,862000
"data/isolum200.ppm"; 200; 200; 20; 0; 0,02; 376,864014
"data/isolum200.ppm"; 200; 200; 30; 0; 0,02; 379,565002
"data/isolum200.ppm"; 200; 200; 5; 45; 0,02; 376,885010
"data/isolum200.ppm"; 200; 200; 10; 45; 0,02; 376,837006
"data/isolum200.ppm"; 200; 200; 15; 45; 0,01; 376,838989
"data/isolum200.ppm"; 200; 200; 20; 45; 0,02; 376,852997
